Major Category,Sub-Section / Table Name,Prompt Structure/Template,Improvised Prompt
Other Safety Evaluations,5.2.5.2 ECG/EKG,"ECG System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on electrocardiograms taken from participants in a clinical trial at various times. The data will pertain to different measurements from the electrocardiogram, such as a QT interval. Your task is to summarize the data provided. Start by noting the baseline and change from baseline values for the ECG statistics as provided and the table where these data can be found. For example, “Baseline values and change from baseline in ECGs are summarized in Table 14.3.6.1.2.” If any of the findings are reported as clinically significant note the tables that provide this information and summarize the clinical significance. For example, “Clinically significant findings in ECG data from baseline to Week 12 were reported as AEs and assessed by the investigator (Table 14.3.1.2.3.2 and Table 14.3.1.2.3.3.2).” Then provide a list of bullet points regarding the findings. One bullet point might be “The AE of atrial fibrillation was reported in 10 patients (7 in the acetaminophen 3000 mg group and 3 in the placebo group).” The tables where these data come from will have been cited already in what you summarize so there is no need to do it again. If any of the AEs listed were considered treatment related note exactly which were and then report that the remaining AEs were not considered treatment related; otherwise report that “None of the AEs were considered treatment related.”

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)",“You are provided with the markdown text in the variable ‘input’ which includes information on electrocardiograms taken from participants in a clinical trial at various times. Your task is to summarize the data provided. Note the baseline and change from baseline values for the ECG statistics. If any of the findings are reported as clinically significant note the tables that provide this information and summarize the clinical significance. Provide a list of bullet points regarding the findings. Note any AEs that were considered treatment related and report that the remaining AEs were not considered treatment related.
Other Safety Evaluations,5.2.5.3 Physical Examination Findings,"Physical Examination System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes information on physical examinations performed on participants in a clinical trial. The exams may have been performed at various times. Your task is to summarize the data provided. Start by noting that the physical examination findings are summarized in particular table (such as Table 14.3.8.1). Note if there were any clinically significant physical exam findings. If there were none, state so. The summary you create may depend on the data provided and will vary from study to study. For example, if a treatment is likely to cause skin lesions, then there may be a subsection on skin reactions. If a participant may be likely to lose weight during a study, there may be a subsection on change in weight or BMI (body mass index). Your task is to summarize any clinically significant changes in any of the aspects of the physical exam data by group, arm, cohort, or other category, and also compare any changes between groups. For example, it may be case that one group is 2.1 times as likely to have a gastrointestinal disorder than another group. Or it may be that participants in one group are more likely to be in pain or suffer a higher degree of pain than participants in another group. Note whether or not any AEs associated with the findings from the physical examination were severe, and if so, whether or not they led to a participant discontinuing the trial. If so, also note the number of participants who discontinued as a result of the specific finding. 

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","You are provided with the markdown text in the variable ‘input’ which includes information on physical examinations performed on participants in a clinical trial. Your task is to summarize the data provided. Note if there were any clinically significant physical exam findings. If there were none, state so. Summarize any clinically significant changes in the physical exam data by group and also compare any changes between groups.  Note whether or not any AEs associated with the findings from the physical examination were severe, and if so, whether or not they led to a participant discontinuing the trial. If so, also note the number of participants who discontinued as a result of the specific finding. "
Other Safety Evaluations,5.2.5.5 Safety Observations Related to Medical Device or Combination Product,"Other Safety Evaluations System Prompt: “You are provided with the markdown text in the variable ‘input’ which includes safety information gather from participants in a clinical trial. These data do not generally belong in another major section of the safety summary, such as SAEs, deaths, AESIs, dose modification, discontinuations, or laboratory results. Thus, there may be a wide range of topics that are in this section that remain as “leftovers” following your summarization of the other sections. Your task is to summarize these other safety data in a manner similar to the major sections. Start by identifying the tables that report the data and what type of data they report. Provide a summary by number of participants and percentage by group, arm, cohort, or other category, along with a reference to the table or tables that support these data. If the evaluations did not lead to clinically significant findings state that. If there were clinically significant finds, enumerate them by group, or by participant, depending on how they are found in the input data. 

User_prompt:
input: ""markdown text generated after post-processing""
output: ""entire actual summary as few shot example""
Provide 1-2 examples based on different CSRs for this particular sub-section

input: '{context of new CSR - markdown text as input}
output: keep blank (this is the final output that LLM model will generate)","You are provided with the markdown text in the variable ‘input’ which includes safety information gather from participants in a clinical trial. These data do not generally belong in another major section of the safety summary, such as SAEs, deaths, AESIs, dose modification, discontinuations, or laboratory results. Thus, there may be a wide range of topics that are in this section that remain as “leftovers” following your summarization of the other sections. Your task is to summarize these other safety data in a manner similar to the major sections. Start by identifying the tables that report the data and what type of data they report. Provide a summary by number of participants and percentage by group along with a reference to the table or tables that support these data. If the evaluations did not lead to clinically significant findings state that. If there were clinically significant finds, enumerate them by group, or by participant, depending on how they are found in the input data. "
Other Safety Evaluations,5.2.5.4 Safety Observations Related to Medical Device or Combination Product,,
Pharmacokinetics,5.3,,
Pharmacodynamics,5.4,,
Genetics,5.5,,
Biomarkers,5.6,,
Immunogenicity,5.7,,
Health Economics or Patient Reported Outcomes,5.8,,
Other Analyses/Results,5.9,,
Summary of Evaluation Response,5.1,,
